customer_id,gender,age,city,state,region,signup_date,tenure_months,plan_id,contract_type,payment_method,device_type,churn,transaction_frequency,monthly_revenue,late_payment_days,complaint_count,data_used_total,churn_probability,revenue_at_risk,segment_cluster,segment_name
1,Female,39,St. Louis,MO,Central,2018-09-14,76,P003,12 Month,Bank Transfer,Smartphone,0,21,551.5600000000001,69,4.0,301.11,0.6279209603952696,346.33608491561495,0,Growth Customers
2,Male,27,Cincinnati,OH,Central,2017-11-09,87,P002,Month-to-Month,Bank Transfer,Tablet,0,19,277.66,22,2.0,169.41,0.49691284763258803,137.9728212736644,2,High-Value At Risk
3,Female,44,Kansas City,MO,Central,2017-08-27,89,P004,12 Month,Bank Transfer,Smartphone,0,21,874.79,21,4.0,486.72,0.5005934184210965,437.914116500591,0,Growth Customers
4,Female,40,Nashville,TN,Central,2014-08-03,120,P012,24 Month,Credit Card,Smartphone,0,24,4110.46,42,2.0,3229.98,0.21926179483809222,901.2668372101846,1,Premium Loyalists
5,Male,35,Washington,DC,East,2018-05-15,80,P001,Month-to-Month,Credit Card,Smartphone,0,22,249.41,47,1.0,126.69,0.5503746457214537,137.26894038938775,2,High-Value At Risk
6,Female,45,San Francisco,CA,West,2014-06-06,120,P001,Month-to-Month,Credit Card,Smartphone,0,17,159.51,1,3.0,115.22,0.18293208809495728,29.179497372026635,0,Growth Customers
7,Female,18,Phoenix,AZ,West,2017-04-30,93,P001,Month-to-Month,Cash,Smartphone,0,17,224.02,0,2.0,69.45,0.42974832289288734,96.27221929446462,2,High-Value At Risk
8,Female,31,San Diego,CA,West,2017-03-10,95,P014,12 Month,Cash,Smartphone,0,26,2749.54,0,1.0,1658.72,0.4100718451007731,1127.5089409783798,1,Premium Loyalists
9,Male,27,Portland,OR,West,2015-02-17,120,P003,12 Month,Cash,Smartphone,0,19,415.87,47,3.0,222.88,0.16641857377767613,69.20849227692217,0,Growth Customers
10,Male,28,Boston,MA,East,2015-08-26,113,P001,Month-to-Month,Bank Transfer,Smartphone,0,29,317.36,71,2.0,138.93,0.19855697487098486,63.01404154505576,3,Budget Customers
11,Male,36,Houston,TX,South,2015-02-01,120,P003,12 Month,Bank Transfer,Smartphone,0,25,433.69,30,2.0,300.8,0.16740047620413892,72.599912524973,3,Budget Customers
12,Female,26,Seattle,WA,North,2018-10-23,75,P001,Month-to-Month,Debit Card,Smartphone,0,15,171.48,0,1.0,62.4,0.6311462329456623,108.22895602552217,2,High-Value At Risk
13,Female,60,Cincinnati,OH,Central,2017-01-24,96,P002,Month-to-Month,Credit Card,Smartphone,0,17,196.32,0,0.0,164.01,0.37798258850263655,74.2055417748376,3,Budget Customers
14,Female,44,Baltimore,MD,East,2017-02-23,95,P003,12 Month,Credit Card,Smartphone,0,19,408.51,23,3.0,274.35,0.4183261585958778,170.89041904800203,0,Growth Customers
15,Male,28,Chicago,IL,North,2014-05-11,120,P001,Month-to-Month,Wallet,5G Device,0,16,184.42,44,3.0,62.82,0.16556725812886158,30.53391374412465,0,Growth Customers
16,Male,18,St. Louis,MO,Central,2019-03-17,70,P004,12 Month,Credit Card,5G Device,0,23,813.93,3,1.0,560.0699999999999,0.6961546653036148,566.6211667305712,2,High-Value At Risk
17,Female,30,St. Louis,MO,Central,2018-01-12,84,P001,Month-to-Month,Wallet,Feature Phone,0,14,181.6,0,1.0,89.65,0.5278883004073236,95.86451535396996,2,High-Value At Risk
18,Male,34,Los Angeles,CA,West,2014-10-11,120,P006,Month-to-Month,Credit Card,Tablet,0,22,1564.77,25,4.0,754.27,0.1749615128437012,273.77452645243835,0,Growth Customers
19,Female,30,Baltimore,MD,East,2018-08-21,77,P003,12 Month,Debit Card,Smartphone,0,21,462.8,0,0.0,270.38,0.5990210125906318,277.2269246269444,2,High-Value At Risk
20,Female,71,Nashville,TN,Central,2017-11-18,86,P008,24 Month,Debit Card,5G Device,0,19,2482.33,0,1.0,1392.58,0.5056479627603923,1255.1851073990044,1,Premium Loyalists
21,Female,18,Boston,MA,East,2015-12-11,110,P001,Month-to-Month,Bank Transfer,5G Device,0,22,304.73,24,1.0,112.32000000000001,0.22894710536547702,69.76705141802182,3,Budget Customers
22,Male,39,Cincinnati,OH,Central,2019-09-01,64,P003,12 Month,Debit Card,Smartphone,0,10,238.51,29,1.0,144.72,0.7356386850745407,175.45718277712868,2,High-Value At Risk
23,Female,36,Kansas City,MO,Central,2018-01-09,84,P003,12 Month,Credit Card,Smartphone,0,17,425.65,0,3.0,224.85,0.5564918986741442,236.87077667064946,2,High-Value At Risk
24,Female,35,Atlanta,GA,South,2016-10-30,99,P003,12 Month,Wallet,Tablet,0,28,690.99,0,3.0,339.38,0.3750005021164299,259.1215969574319,0,Growth Customers
25,Female,18,Dallas,TX,South,2018-12-22,73,P004,12 Month,Bank Transfer,Tablet,0,26,837.36,18,3.0,531.9,0.6792661969208236,568.7903426536209,2,High-Value At Risk
26,Male,37,Phoenix,AZ,West,2018-09-24,76,P002,Month-to-Month,Debit Card,5G Device,0,15,232.58,0,2.0,151.65,0.6386268350750997,148.5318293017667,2,High-Value At Risk
27,Male,40,San Diego,CA,West,2014-06-02,120,P001,Month-to-Month,Credit Card,Tablet,0,18,214.56,63,2.0,123.33,0.15465122801494904,33.181967482887465,3,Budget Customers
28,Male,47,San Diego,CA,West,2016-02-23,107,P014,12 Month,Bank Transfer,Smartphone,0,18,1999.32,38,2.0,1318.87,0.2819051921489981,563.6186887673349,1,Premium Loyalists
29,Male,44,Minneapolis,MN,North,2019-10-21,63,P002,Month-to-Month,Credit Card,Feature Phone,0,34,489.81,9,0.0,365.37,0.7484467770335529,366.59671585880454,2,High-Value At Risk
30,Female,54,Nashville,TN,Central,2015-06-23,116,P009,12 Month,Credit Card,Smartphone,0,22,1622.98,45,3.0,941.09,0.19850111710307386,322.1633430359468,0,Growth Customers
